,0,TextBlob (mean),Human Annotation
1933,such a jolly ole fellow good vid,,
1934,the beard look great,,
1935,i accidentally saved some sensitive file into a shared dropbox folder on my pc because the stupid desktop program made the dropbox folder my default isave a location this folder wa created by someone else admin a a shared folder who gave me edit access i tried to delete those file on my pc and also online will the folder owner be able to view restore those file,,
1936,sharing a folder with view only capability is great however how do i restrict the viewer from going up in the hierarchy and see my other folder on my dropbox currently the rest of my dropbox is an open book darned if i can figure out how to restrict their access to the folder that i am sharing with them,,
1937,i think you must have a setting wrong are you certain if that is the case reach out to dropbox support something is amiss,,
1938,thanks,,
1939,hey dotto i have a dropbox which ha about 60 photo in a file on it i wish to share this with a couple club member when i send them a link from db with view only everything seems to go ok they can get in ck out the photo they want now i have found that while at db this person can also end a share to another friend not mine with edit ability now that person can send his her friend share email and the list go on after i found this wa happening i had to delete that file and start over how can this be prevented send a reply here gvb564 live com tkx,,
1940,i do the video for the naples macfriends user group of our meeting how can i show the speaker face a you are grubin12 comcast net,,
1941,sir i want to copy multiple link at one time and paste on the execl sheet but all the time i get only one link to the single image,,
1942,nice dotto,,
1943,nice video i wanted to ask i and my editor share same account on our system i have uploaded 300gb video file on dropbox so can he use these file without downloading the 300gb file simply by using it through the folder or they will have to download or sync first to use these video file,,
1944,how can i check if someone ha accessed file that i drop boxed to them,,
1945,wendy mccoy if you knew about it tell me please,,
1946,you nailed it i have to send photo to my bos but forgot how,,
1947,,,
1948,please do not use pc term to refer window machine a it is not,,
1949,great tutorial helpful,,
1950,i have a fast game machine but all your video did wa spin with the circle,,
1951,someone sent me a file request i clicked the big blue button i saw a folder which is supposed to have multiple folder inside that folder when i double click that folder nothing happens im supposed to see multiple folder i do not so far the product is horrible,,
1952,hi i need a help from you you see i am creating a job ad website wonderring how am i share video sharing between the jobseeker to upload video resume and recruiter to see from their end this is video sharing without the link or sharing and how to embed the same in website without much hassle,,
1953,steve thanks for the info however the link created to share a folder with picture allow the other person to see all content on my dropbox why any help,,
1954,copy dropbox link is not shown from my dropdown option in fact from my mac it appears there is not a way to directly share folder any longer,,
1955,i can use the file request function but dropbox limit me to where i can have the file sent i want them sent to a subfolder but the capability doe not seem to be there,,
1956,just what i wa looking for and the beard is ok by the way a question though i by sending that request to liz can she continuously send you file ie different one relevant to your folder or can not the link be used by her several time for different doc the reason i am asking this is i want to share the link with a group of people i e several email address so that whenever they upload a file on a project it go into that folder many thanks,,
1957,hi dropbox ha recently changed the way i can link to file and it a pain in the as i post image and mp3 file on forum but now instead of people being able to just see the image or hear the mp3 instantly now i can only post a link now this link that i post doe work however when people click on the new link way of doing thing whilst that link is thinking about opening people can briefly gain access to all my file just a head up to anyone who is also pissed off about this new way of isharing file beware,,
1958,omg the cat wa amazing love it,,
1959,steve i often need to send or receive large number of photo file would i use this same method,,
1960,you can save them in a folder first and share the folder,,
1961,the 20gb bandwith limit is retarded in 2016 my link used to get banned for 24hrs for crossing 20gb limit then google drive,,
1962,hey big guy look like you have really got your lighting nailed even more than before any chance you could do a wee tutorial on colour adjustment on screenflow or your mac,,
